date,id,description,account_handle,account_name,account_id,account_subscribers,statistics_actual_favoriteCount,statistics_actual_retweetCount,hashtags,media
2023-03-23 19:33:23+00:00,1638987322870964224,Base da Virgínia: https://t.co/D5Yh67jAS1,LIIICEEMM,hélice,1511472655542722566,1,0,0,,"[Photo(previewUrl='https://pbs.twimg.com/media/Fr7aQTTWwAAqz9F?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fr7aQTTWwAAqz9F?format=jpg&name=orig', altText=None)]"
2023-03-23 19:33:00+00:00,1638987226842558464,"""faça uma redação sobre os assuntos que estão em destaque na mídia nos últimos dias""

lexa e quimê?
base da virginia?
ret sendo escroto? 

na dúvida entre esses",acaroliz_,𝐚𝐜𝐫𝐥,1263902505127337986,346,0,0,,
2023-03-23 19:30:54+00:00,1638986697303117833,jungkook fala aí oq vc achou da base da virginia,koosmo_,lis⁷ do gguk 🌼,1525530193963753473,377,0,0,,
2023-03-23 19:29:36+00:00,1638986370390675470,@rairudberg ele passa a base da virginia para ficar sem 🙀,edvwilds,dudis. JAO DEU A BAQUETA,1619870074281533441,151,3,0,,
2023-03-23 19:26:33+00:00,1638985603084701707,@rauquetxt Parece até propaganda da base da Virgínia,777tzray,ลиσ∂𝔦𝔱ล ⚘,3296522299,1685,0,0,,
2023-03-23 19:25:23+00:00,1638985308703281153,@siteptbr Imagina se karen testa e ve q o produto eh bom eu ia ficar de cara um produto da micheque ser melhor q coisas da virginia (apesar de saber q tendo bom senso e pesquisa qq coisa consegue ser melhor q a base da virginia,moIhoshoyu,airamy🫧,1326684854780620800,12,0,0,,
2023-03-23 19:17:15+00:00,1638983263220891655,Vou encher o saco da minha mãe até ela me dar a base da Boticário que a Karen bachini indicou no vídeo que ele detona a da Virgínia,roc_inacio,inasa,779478393536516096,91,0,0,,
2023-03-23 19:13:42+00:00,1638982369280512008,"@siteptbr ""kit com 2 produtos custam R$ 149,90, mais barato do que a base da Virginia!""🗣🗣🗣🗣🗣 KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK",SelJB_,Malu❣️Selena,1572294256634597377,46,0,0,,
2023-03-23 19:13:10+00:00,1638982234722934786,@alcrsk a base da virgínia,Gabimouraas,mouras,1298431845055463424,77,0,0,,
2023-03-23 19:12:11+00:00,1638981986797735958,Agora que eu fui olhar direitinho a eliminação do boys planet como assim o Anthony foi de base da virginia,ninniesdilemma,Ninnie 🪷,1535083464936013830,57,0,0,,
2023-03-23 19:10:11+00:00,1638981484525633539,Meu tema na apresentação da eletiva de química foi base da Virgínia.,jogiinho,Jogi (bonito),1534623027429769220,12,0,0,,
2023-03-23 19:05:56+00:00,1638980416492240906,@siteptbr Mais barato que a base da Virgínia 😂,dn_flrn,🧚‍♀️,1313582158745931782,214,0,0,,
2023-03-23 19:04:41+00:00,1638980099063140352,"@ramondega Gente do céu 🫠
Onde que eu posso doar?",bruardo97,bruuuuu 🐨🏳️‍🌈,2743882840,323,1,0,,
2023-03-23 19:01:18+00:00,1638979247745257486,@minervahghwood eita é hj que eu vou de base da virgínia,izastarw,issa & the six,1608610525306359809,9,0,0,,
2023-03-23 18:59:46+00:00,1638978863765114880,@andreelr entao ta cada um sabe da sua dor hihihi https://t.co/315hAoLzPN,ednankf,base da virginia,1251741197183389696,217,1,0,,"[Photo(previewUrl='https://pbs.twimg.com/media/Fr7SlumWcAAJXpM?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fr7SlumWcAAJXpM?format=jpg&name=orig', altText=None)]"
2023-03-23 18:58:42+00:00,1638978595354812416,@hange_Zzz A base da Virgínia,dudasl10,Eduarda,1308209345356795905,314,0,0,,
2023-03-23 18:54:03+00:00,1638977424913231880,@heyduartee https://t.co/LtXvvn9UtF,aassumpp,base da virginia,1544457110896910337,128,1,0,,"[Photo(previewUrl='https://pbs.twimg.com/media/Fr7RRxoWcBgINMr?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fr7RRxoWcBgINMr?format=jpg&name=orig', altText=None)]"
2023-03-23 18:53:22+00:00,1638977251541676044,@Dantinhas https://t.co/G5g8dIBNwg,aassumpp,base da virginia,1544457110896910337,128,0,0,,"[Photo(previewUrl='https://pbs.twimg.com/media/Fr7RHt5XwAEa6oq?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fr7RHt5XwAEa6oq?format=jpg&name=orig', altText=None)]"
2023-03-23 18:53:04+00:00,1638977178837610530,@andreelr Ihhh amg se ta precisando de jma terapiazinha pra lidar com traumas heinnnnnn. Recomendo https://t.co/uNsqa8Iwtq,ednankf,base da virginia,1251741197183389696,217,0,0,,"[Photo(previewUrl='https://pbs.twimg.com/media/Fr7RDlHWcBAwhzp?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fr7RDlHWcBAwhzp?format=jpg&name=orig', altText=None)]"
2023-03-23 18:52:18+00:00,1638976984536477712,@alallaalla7 @memedepressivos https://t.co/KP89r64kVz,lumity666,base da virginia,1421705160565403648,521,1,0,,"[Photo(previewUrl='https://pbs.twimg.com/media/Fr7Q4bhWcBkBKVq?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fr7Q4bhWcBkBKVq?format=jpg&name=orig', altText=None)]"
2023-03-23 18:52:15+00:00,1638976970288660481,se eu ver a base da Virgínia eu compro pra usar de reboco,Iwoverrs,cam's hot mother,1594093315292536833,8,0,0,,
2023-03-23 18:48:43+00:00,1638976082492948481,Soninho da tarde,aassumpp,base da virginia,1544457110896910337,128,1,0,,
2023-03-23 18:47:32+00:00,1638975786613895194,@heyduartee Essa festa virou uma Putaria,aassumpp,base da virginia,1544457110896910337,128,1,0,,
2023-03-23 18:46:16+00:00,1638975465393123343,"@siteptbr A mesma cor da base da Virgínia, não dá pra confiar 🚫",Lucas_Sissone,Tropa do bruxo🧙🏼‍♂️,1260787473174736896,251,0,0,,
2023-03-23 18:43:54+00:00,1638974871513231374,@alcrsk @LAY51052795 a base da virgínia,jessicatuitta,jéssica,198648831,551,0,0,,
2023-03-23 18:42:56+00:00,1638974625416716288,@Existforlove22 comprei pois estava mais barato q a base da Virgínia,miyecatt,vitor ツ,972960008454508545,8705,0,0,,
2023-03-23 18:39:57+00:00,1638973877744201728,Vendo o goulart falar mal da base da virginia pela 838384848 vez,thpromse,🍑,1488583018604384259,214,0,0,,
2023-03-23 18:37:53+00:00,1638973356077891584,"Voltei a ter 12 anos, deitado no colo de vozinha assistindo chocolate com pimenta",aassumpp,base da virginia,1544457110896910337,128,3,0,,
2023-03-23 18:33:06+00:00,1638972154438905866,@vicpdtt @paginalixo1 @najuvalim KKKKKKKKK o cookie,rafaelfelipeL,base da virginia,1242262862,968,0,0,,
2023-03-23 18:30:58+00:00,1638971614682292224,@liviaslves1 e mais barato que a base da virginia!!!!,nisgolle,ninickelodeon espetinha,1004122186750230529,114,0,0,,
2023-03-23 18:27:45+00:00,1638970808381894666,"Na aula de hoje eu simplesmente usei o caso da base da virgínia na discussão sobre a Teoria Crítica.  Feenberg, tô usando exemplos locais. Fique feliz.",fernandarios,Fernanda Risos,23785873,464,0,0,,
2023-03-23 18:25:18+00:00,1638970189487263744,@jurniorr Tô me sentindo a base da Virgínia hahahaahahah,kleberjcs,kleber,38943036,1951,0,0,,
2023-03-23 18:24:46+00:00,1638970055395274768,"Nao to entendo pq tem página de notícia pop e chart divulgando que a m*chelle b*lsonaro ta lançando uma linha de produto de maquiagem??? Que isso agora???? E ainda usando o meme da base da Virgínia pra enfatizar que tá barato
Olha vou falar uma coisa heinnnn https://t.co/WtsdtmKmE8",bebora_,bébora,2746125510,274,8,0,,"[Photo(previewUrl='https://pbs.twimg.com/media/Fr7KkuEWcBcOHC7?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fr7KkuEWcBcOHC7?format=jpg&name=orig', altText=None)]"
2023-03-23 18:23:57+00:00,1638969851237605376,@larisantosbe @natanaelrodrigs Truce fatos,aassumpp,base da virginia,1544457110896910337,128,1,0,,
2023-03-23 18:23:11+00:00,1638969655795802112,o Calango testando a base da Virgínia https://t.co/IsjfZEBwv1,ma_luiui,namo do tae(malu),1590477538954027012,14,0,0,,"[Photo(previewUrl='https://pbs.twimg.com/media/Fr7KNnQWcAcrs4k?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fr7KNnQWcAcrs4k?format=jpg&name=orig', altText=None), Photo(previewUrl='https://pbs.twimg.com/media/Fr7KNnMWIAIZFQG?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fr7KNnMWIAIZFQG?format=jpg&name=orig', altText=None), Photo(previewUrl='https://pbs.twimg.com/media/Fr7KNnSWwAEQiMb?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fr7KNnSWwAEQiMb?format=jpg&name=orig', altText=None)]"
2023-03-23 18:19:19+00:00,1638968683266469910,Mds gente recebi a notícia que um amigo meu faleceu de ontem pra hoje de infarto e tô mto abalado 😖,iKadrash,Base da Virgínia,115067208,667,0,0,,
2023-03-23 18:15:18+00:00,1638967671487094785,@super0li @hayakawakaiser @fishmoonm pq os dois não vão de base da Virgínia na água bando de viado 😾😾,bellahaaven,Lírio,1408979412750589955,1219,0,0,,
2023-03-23 18:14:28+00:00,1638967464619831302,@kjjkev para usar com a base da Virgínia,juniabrasil,Júnia Br@sil | 🎙️,107094669,1453,4,0,,
2023-03-23 18:12:43+00:00,1638967024750587910,quase indo de base da virginia,laregirrl,lare ☼,1233809739621990400,422,0,0,,
2023-03-23 18:11:25+00:00,1638966694852067329,@missurucum Pegou bicheira da base da Virgínia imagina oq ela pode pegar c esses produtos de Chernobyl ☠️,MoriaAbelha,Paris Hilton do Cerrado 🐝,927256142048321537,428,0,0,,
2023-03-23 18:09:36+00:00,1638966236779249664,@rbmguilherme Eu ameaço meus gatos dizendo que vou passar a base da Virginia na cara deles.,tweetsdomario,Mário ,1204349279474716672,221,1,0,,
2023-03-23 18:01:33+00:00,1638964212285206543,@edsangui Acontece,rodrigotorresb,Base da Virginia,280385602,19050,0,0,,
2023-03-23 17:58:36+00:00,1638963471176826881,karen bachini assunto de aula e n eh por conta da base da virginia,ingrivxd,ingrid vieira,1183717774947995648,10,0,0,,
2023-03-23 17:56:04+00:00,1638962831511941133,Me falaram que esse doidão aqui passou a base da Virgínia https://t.co/aN2ltEuq2P,SouOLuis_,Luis,1341057057408114691,155,2,0,,"[Photo(previewUrl='https://pbs.twimg.com/media/Fr7EAodXoAAJnxT?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fr7EAodXoAAJnxT?format=jpg&name=orig', altText=None)]"
